,Tumor Sub-Compartment,Singlet Model,Triplet Model,Singlet Model DSC,Triplet Model DSC,Initial Model DSC,Percent Increase of singlet over initial model,Percent Increase of triplet over initial model,P value for significance of means over cases used to compute above,Differences In Percent Increase
17,ET,singlet_0,triplet_4,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
18,TC,singlet_0,triplet_4,0.7133484464194944,0.7143076996346159,0.5634957853181098,26.59339519581114,26.763627740599393,0.35044433892117854,-0.17023254478825223
19,WT,singlet_0,triplet_4,0.8349251523796946,0.8279339649815318,0.7210935904759767,15.785962239461938,14.816436578646108,3.9608856312784044e-26,0.9695256608158296
20,Average,singlet_1,triplet_0,0.7453618172682913,0.7490137000608906,0.6267200744845778,18.93057963418292,19.51327722777807,0.31264539520335644,-0.5826975935951495
21,ET,singlet_1,triplet_0,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
22,TC,singlet_1,triplet_0,0.7143076996346159,0.7143076996346159,0.5634957853181098,26.763627740599393,26.763627740599393,NA,0.0
23,WT,singlet_1,triplet_0,0.8310347444135929,0.8349251523796946,0.7210935904759767,15.246447255902895,15.785962239461938,0.33697868290616584,-0.5395149835590427
24,Average,singlet_1,triplet_1,0.7453618172682913,0.7503563899131085,0.6267200744845778,18.93057963418292,19.7275179880285,0.004712454553042224,-0.7969383538455794
25,ET,singlet_1,triplet_1,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
26,TC,singlet_1,triplet_1,0.7143076996346159,0.71833576919127,0.5634957853181098,26.763627740599393,27.47846353202952,0.012652888342430833,-0.7148357914301258
27,WT,singlet_1,triplet_1,0.8310347444135929,0.8349251523796946,0.7210935904759767,15.246447255902895,15.785962239461938,0.33697868290616584,-0.5395149835590427
28,Average,singlet_1,triplet_2,0.7453618172682913,0.7486939489891832,0.6267200744845778,18.93057963418292,19.46225746876198,0.9678811297658869,-0.5316778345790603
29,ET,singlet_1,triplet_2,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
30,TC,singlet_1,triplet_2,0.7143076996346159,0.7133484464194944,0.5634957853181098,26.763627740599393,26.59339519581114,0.35044433892117854,0.17023254478825223
31,WT,singlet_1,triplet_2,0.8310347444135929,0.8349251523796946,0.7210935904759767,15.246447255902895,15.785962239461938,0.33697868290616584,-0.5395149835590427
32,Average,singlet_1,triplet_3,0.7453618172682913,0.748995769970474,0.6267200744845778,18.93057963418292,19.510416286961487,0.565847860509376,-0.5798366527785674
33,ET,singlet_1,triplet_3,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
34,TC,singlet_1,triplet_3,0.7143076996346159,0.7143076996346159,0.5634957853181098,26.763627740599393,26.763627740599393,NA,0.0
35,WT,singlet_1,triplet_3,0.8310347444135929,0.8348713621084437,0.7210935904759767,15.246447255902895,15.778502698569973,0.0007147486927023889,-0.5320554426670778
36,Average,singlet_1,triplet_4,0.7453618172682913,0.7466833042615029,0.6267200744845778,18.93057963418292,19.14143724781503,6.530591590593153e-08,-0.2108576136321112
37,ET,singlet_1,triplet_4,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
38,TC,singlet_1,triplet_4,0.7143076996346159,0.7143076996346159,0.5634957853181098,26.763627740599393,26.763627740599393,NA,0.0
39,WT,singlet_1,triplet_4,0.8310347444135929,0.8279339649815318,0.7210935904759767,15.246447255902895,14.816436578646108,7.715081030961255e-21,0.4300106772567869
40,Average,singlet_2,triplet_0,0.7422459520057015,0.7490137000608906,0.6267200744845778,18.43340946372807,19.51327722777807,8.305218775556887e-12,-1.0798677640500003
41,ET,singlet_2,triplet_0,0.680600325904221,0.697808248168362,0.5955708476596493,14.27697117458031,17.166286917914796,3.722159198800115e-17,-2.8893157433344854
42,TC,singlet_2,triplet_0,0.7112661680044386,0.7143076996346159,0.5634957853181098,26.223866537512453,26.763627740599393,2.280046816495758e-06,-0.5397612030869396
